date,week_num,week_start_monday,week_end,year_week,week_range,weekday,abbreviated_weekday,month_start,month_num,month_year,quarter_number,quarter_text,year_start,year
2017-06-01,22,2017-05-29,2017-06-04,"2017, Week 22","May 29, 2017 to Jun 04, 2017 (Week 22)",Thursday,Thu,2017-06-01,6,June 2017,2,Q2 2017,2017-01-01,2017
2017-06-02,22,2017-05-29,2017-06-04,"2017, Week 22","May 29, 2017 to Jun 04, 2017 (Week 22)",Friday,Fri,2017-06-01,6,June 2017,2,Q2 2017,2017-01-01,2017
2017-06-03,22,2017-05-29,2017-06-04,"2017, Week 22","May 29, 2017 to Jun 04, 2017 (Week 22)",Saturday,Sat,2017-06-01,6,June 2017,2,Q2 2017,2017-01-01,2017
2017-06-04,22,2017-05-29,2017-06-04,"2017, Week 22","May 29, 2017 to Jun 04, 2017 (Week 22)",Sunday,Sun,2017-06-01,6,June 2017,2,Q2 2017,2017-01-01,2017
2017-06-05,23,2017-06-05,2017-06-11,"2017, Week 23","Jun 05, 2017 to Jun 11, 2017 (Week 23)",Monday,Mon,2017-06-01,6,June 2017,2,Q2 2017,2017-01-01,2017
2017-06-06,23,2017-06-05,2017-06-11,"2017, Week 23","Jun 05, 2017 to Jun 11, 2017 (Week 23)",Tuesday,Tue,2017-06-01,6,June 2017,2,Q2 2017,2017-01-01,2017
2017-06-07,23,2017-06-05,2017-06-11,"2017, Week 23","Jun 05, 2017 to Jun 11, 2017 (Week 23)",Wednesday,Wed,2017-06-01,6,June 2017,2,Q2 2017,2017-01-01,2017
2017-06-08,23,2017-06-05,2017-06-11,"2017, Week 23","Jun 05, 2017 to Jun 11, 2017 (Week 23)",Thursday,Thu,2017-06-01,6,June 2017,2,Q2 2017,2017-01-01,2017
2017-06-09,23,2017-06-05,2017-06-11,"2017, Week 23","Jun 05, 2017 to Jun 11, 2017 (Week 23)",Friday,Fri,2017-06-01,6,June 2017,2,Q2 2017,2017-01-01,2017
2017-06-10,23,2017-06-05,2017-06-11,"2017, Week 23","Jun 05, 2017 to Jun 11, 2017 (Week 23)",Saturday,Sat,2017-06-01,6,June 2017,2,Q2 2017,2017-01-01,2017
2017-06-11,23,2017-06-05,2017-06-11,"2017, Week 23","Jun 05, 2017 to Jun 11, 2017 (Week 23)",Sunday,Sun,2017-06-01,6,June 2017,2,Q2 2017,2017-01-01,2017
2017-06-12,24,2017-06-12,2017-06-18,"2017, Week 24","Jun 12, 2017 to Jun 18, 2017 (Week 24)",Monday,Mon,2017-06-01,6,June 2017,2,Q2 2017,2017-01-01,2017
2017-06-13,24,2017-06-12,2017-06-18,"2017, Week 24","Jun 12, 2017 to Jun 18, 2017 (Week 24)",Tuesday,Tue,2017-06-01,6,June 2017,2,Q2 2017,2017-01-01,2017
2017-06-14,24,2017-06-12,2017-06-18,"2017, Week 24","Jun 12, 2017 to Jun 18, 2017 (Week 24)",Wednesday,Wed,2017-06-01,6,June 2017,2,Q2 2017,2017-01-01,2017
2017-06-15,24,2017-06-12,2017-06-18,"2017, Week 24","Jun 12, 2017 to Jun 18, 2017 (Week 24)",Thursday,Thu,2017-06-01,6,June 2017,2,Q2 2017,2017-01-01,2017
2017-06-16,24,2017-06-12,2017-06-18,"2017, Week 24","Jun 12, 2017 to Jun 18, 2017 (Week 24)",Friday,Fri,2017-06-01,6,June 2017,2,Q2 2017,2017-01-01,2017
2017-06-17,24,2017-06-12,2017-06-18,"2017, Week 24","Jun 12, 2017 to Jun 18, 2017 (Week 24)",Saturday,Sat,2017-06-01,6,June 2017,2,Q2 2017,2017-01-01,2017
2017-06-18,24,2017-06-12,2017-06-18,"2017, Week 24","Jun 12, 2017 to Jun 18, 2017 (Week 24)",Sunday,Sun,2017-06-01,6,June 2017,2,Q2 2017,2017-01-01,2017
2017-06-19,25,2017-06-19,2017-06-25,"2017, Week 25","Jun 19, 2017 to Jun 25, 2017 (Week 25)",Monday,Mon,2017-06-01,6,June 2017,2,Q2 2017,2017-01-01,2017
2017-06-20,25,2017-06-19,2017-06-25,"2017, Week 25","Jun 19, 2017 to Jun 25, 2017 (Week 25)",Tuesday,Tue,2017-06-01,6,June 2017,2,Q2 2017,2017-01-01,2017
2017-06-21,25,2017-06-19,2017-06-25,"2017, Week 25","Jun 19, 2017 to Jun 25, 2017 (Week 25)",Wednesday,Wed,2017-06-01,6,June 2017,2,Q2 2017,2017-01-01,2017
2017-06-22,25,2017-06-19,2017-06-25,"2017, Week 25","Jun 19, 2017 to Jun 25, 2017 (Week 25)",Thursday,Thu,2017-06-01,6,June 2017,2,Q2 2017,2017-01-01,2017
2017-06-23,25,2017-06-19,2017-06-25,"2017, Week 25","Jun 19, 2017 to Jun 25, 2017 (Week 25)",Friday,Fri,2017-06-01,6,June 2017,2,Q2 2017,2017-01-01,2017
2017-06-24,25,2017-06-19,2017-06-25,"2017, Week 25","Jun 19, 2017 to Jun 25, 2017 (Week 25)",Saturday,Sat,2017-06-01,6,June 2017,2,Q2 2017,2017-01-01,2017
2017-06-25,25,2017-06-19,2017-06-25,"2017, Week 25","Jun 19, 2017 to Jun 25, 2017 (Week 25)",Sunday,Sun,2017-06-01,6,June 2017,2,Q2 2017,2017-01-01,2017
2017-06-26,26,2017-06-26,2017-07-02,"2017, Week 26","Jun 26, 2017 to Jul 02, 2017 (Week 26)",Monday,Mon,2017-06-01,6,June 2017,2,Q2 2017,2017-01-01,2017
2017-06-27,26,2017-06-26,2017-07-02,"2017, Week 26","Jun 26, 2017 to Jul 02, 2017 (Week 26)",Tuesday,Tue,2017-06-01,6,June 2017,2,Q2 2017,2017-01-01,2017
2017-06-28,26,2017-06-26,2017-07-02,"2017, Week 26","Jun 26, 2017 to Jul 02, 2017 (Week 26)",Wednesday,Wed,2017-06-01,6,June 2017,2,Q2 2017,2017-01-01,2017
2017-06-29,26,2017-06-26,2017-07-02,"2017, Week 26","Jun 26, 2017 to Jul 02, 2017 (Week 26)",Thursday,Thu,2017-06-01,6,June 2017,2,Q2 2017,2017-01-01,2017
2017-06-30,26,2017-06-26,2017-07-02,"2017, Week 26","Jun 26, 2017 to Jul 02, 2017 (Week 26)",Friday,Fri,2017-06-01,6,June 2017,2,Q2 2017,2017-01-01,2017
2017-07-01,26,2017-06-26,2017-07-02,"2017, Week 26","Jun 26, 2017 to Jul 02, 2017 (Week 26)",Saturday,Sat,2017-07-01,7,July 2017,3,Q3 2017,2017-01-01,2017
2017-07-02,26,2017-06-26,2017-07-02,"2017, Week 26","Jun 26, 2017 to Jul 02, 2017 (Week 26)",Sunday,Sun,2017-07-01,7,July 2017,3,Q3 2017,2017-01-01,2017
2017-07-03,27,2017-07-03,2017-07-09,"2017, Week 27","Jul 03, 2017 to Jul 09, 2017 (Week 27)",Monday,Mon,2017-07-01,7,July 2017,3,Q3 2017,2017-01-01,2017
2017-07-04,27,2017-07-03,2017-07-09,"2017, Week 27","Jul 03, 2017 to Jul 09, 2017 (Week 27)",Tuesday,Tue,2017-07-01,7,July 2017,3,Q3 2017,2017-01-01,2017
2017-07-05,27,2017-07-03,2017-07-09,"2017, Week 27","Jul 03, 2017 to Jul 09, 2017 (Week 27)",Wednesday,Wed,2017-07-01,7,July 2017,3,Q3 2017,2017-01-01,2017
2017-07-06,27,2017-07-03,2017-07-09,"2017, Week 27","Jul 03, 2017 to Jul 09, 2017 (Week 27)",Thursday,Thu,2017-07-01,7,July 2017,3,Q3 2017,2017-01-01,2017
2017-07-07,27,2017-07-03,2017-07-09,"2017, Week 27","Jul 03, 2017 to Jul 09, 2017 (Week 27)",Friday,Fri,2017-07-01,7,July 2017,3,Q3 2017,2017-01-01,2017
2017-07-08,27,2017-07-03,2017-07-09,"2017, Week 27","Jul 03, 2017 to Jul 09, 2017 (Week 27)",Saturday,Sat,2017-07-01,7,July 2017,3,Q3 2017,2017-01-01,2017
2017-07-09,27,2017-07-03,2017-07-09,"2017, Week 27","Jul 03, 2017 to Jul 09, 2017 (Week 27)",Sunday,Sun,2017-07-01,7,July 2017,3,Q3 2017,2017-01-01,2017
2017-07-10,28,2017-07-10,2017-07-16,"2017, Week 28","Jul 10, 2017 to Jul 16, 2017 (Week 28)",Monday,Mon,2017-07-01,7,July 2017,3,Q3 2017,2017-01-01,2017
2017-07-11,28,2017-07-10,2017-07-16,"2017, Week 28","Jul 10, 2017 to Jul 16, 2017 (Week 28)",Tuesday,Tue,2017-07-01,7,July 2017,3,Q3 2017,2017-01-01,2017
2017-07-12,28,2017-07-10,2017-07-16,"2017, Week 28","Jul 10, 2017 to Jul 16, 2017 (Week 28)",Wednesday,Wed,2017-07-01,7,July 2017,3,Q3 2017,2017-01-01,2017
2017-07-13,28,2017-07-10,2017-07-16,"2017, Week 28","Jul 10, 2017 to Jul 16, 2017 (Week 28)",Thursday,Thu,2017-07-01,7,July 2017,3,Q3 2017,2017-01-01,2017
2017-07-14,28,2017-07-10,2017-07-16,"2017, Week 28","Jul 10, 2017 to Jul 16, 2017 (Week 28)",Friday,Fri,2017-07-01,7,July 2017,3,Q3 2017,2017-01-01,2017
2017-07-15,28,2017-07-10,2017-07-16,"2017, Week 28","Jul 10, 2017 to Jul 16, 2017 (Week 28)",Saturday,Sat,2017-07-01,7,July 2017,3,Q3 2017,2017-01-01,2017
2017-07-16,28,2017-07-10,2017-07-16,"2017, Week 28","Jul 10, 2017 to Jul 16, 2017 (Week 28)",Sunday,Sun,2017-07-01,7,July 2017,3,Q3 2017,2017-01-01,2017
2017-07-17,29,2017-07-17,2017-07-23,"2017, Week 29","Jul 17, 2017 to Jul 23, 2017 (Week 29)",Monday,Mon,2017-07-01,7,July 2017,3,Q3 2017,2017-01-01,2017
2017-07-18,29,2017-07-17,2017-07-23,"2017, Week 29","Jul 17, 2017 to Jul 23, 2017 (Week 29)",Tuesday,Tue,2017-07-01,7,July 2017,3,Q3 2017,2017-01-01,2017
2017-07-19,29,2017-07-17,2017-07-23,"2017, Week 29","Jul 17, 2017 to Jul 23, 2017 (Week 29)",Wednesday,Wed,2017-07-01,7,July 2017,3,Q3 2017,2017-01-01,2017
2017-07-20,29,2017-07-17,2017-07-23,"2017, Week 29","Jul 17, 2017 to Jul 23, 2017 (Week 29)",Thursday,Thu,2017-07-01,7,July 2017,3,Q3 2017,2017-01-01,2017
2017-07-21,29,2017-07-17,2017-07-23,"2017, Week 29","Jul 17, 2017 to Jul 23, 2017 (Week 29)",Friday,Fri,2017-07-01,7,July 2017,3,Q3 2017,2017-01-01,2017
2017-07-22,29,2017-07-17,2017-07-23,"2017, Week 29","Jul 17, 2017 to Jul 23, 2017 (Week 29)",Saturday,Sat,2017-07-01,7,July 2017,3,Q3 2017,2017-01-01,2017
2017-07-23,29,2017-07-17,2017-07-23,"2017, Week 29","Jul 17, 2017 to Jul 23, 2017 (Week 29)",Sunday,Sun,2017-07-01,7,July 2017,3,Q3 2017,2017-01-01,2017
2017-07-24,30,2017-07-24,2017-07-30,"2017, Week 30","Jul 24, 2017 to Jul 30, 2017 (Week 30)",Monday,Mon,2017-07-01,7,July 2017,3,Q3 2017,2017-01-01,2017
2017-07-25,30,2017-07-24,2017-07-30,"2017, Week 30","Jul 24, 2017 to Jul 30, 2017 (Week 30)",Tuesday,Tue,2017-07-01,7,July 2017,3,Q3 2017,2017-01-01,2017
2017-07-26,30,2017-07-24,2017-07-30,"2017, Week 30","Jul 24, 2017 to Jul 30, 2017 (Week 30)",Wednesday,Wed,2017-07-01,7,July 2017,3,Q3 2017,2017-01-01,2017
2017-07-27,30,2017-07-24,2017-07-30,"2017, Week 30","Jul 24, 2017 to Jul 30, 2017 (Week 30)",Thursday,Thu,2017-07-01,7,July 2017,3,Q3 2017,2017-01-01,2017
2017-07-28,30,2017-07-24,2017-07-30,"2017, Week 30","Jul 24, 2017 to Jul 30, 2017 (Week 30)",Friday,Fri,2017-07-01,7,July 2017,3,Q3 2017,2017-01-01,2017
2017-07-29,30,2017-07-24,2017-07-30,"2017, Week 30","Jul 24, 2017 to Jul 30, 2017 (Week 30)",Saturday,Sat,2017-07-01,7,July 2017,3,Q3 2017,2017-01-01,2017
