costs_year,costs_month,source_id,costs
2017,2017-06-01,1,1125.61
2017,2017-06-01,2,2427.38
2017,2017-06-01,3,7731.65
2017,2017-06-01,4,3514.8
2017,2017-06-01,5,2616.12
2017,2017-06-01,9,285.22
2017,2017-06-01,10,314.22
2017,2017-07-01,1,1072.88
2017,2017-07-01,2,2333.11
2017,2017-07-01,3,7674.37
2017,2017-07-01,4,3529.73
2017,2017-07-01,5,2998.14
2017,2017-07-01,9,302.54
2017,2017-07-01,10,329.82
2017,2017-08-01,1,951.81
2017,2017-08-01,2,1811.05
2017,2017-08-01,3,6143.54
2017,2017-08-01,4,3217.36
2017,2017-08-01,5,2185.28
2017,2017-08-01,9,248.93
2017,2017-08-01,10,232.57
2017,2017-09-01,1,1502.01
2017,2017-09-01,2,2985.66
2017,2017-09-01,3,9963.55
2017,2017-09-01,4,5192.26
2017,2017-09-01,5,3849.14
2017,2017-09-01,9,415.62
2017,2017-09-01,10,460.67
2017,2017-10-01,1,2315.75
2017,2017-10-01,2,4845.0
2017,2017-10-01,3,15737.24
2017,2017-10-01,4,6420.84
2017,2017-10-01,5,5767.4
2017,2017-10-01,9,609.41
2017,2017-10-01,10,627.24
2017,2017-11-01,1,2445.16
2017,2017-11-01,2,5247.68
2017,2017-11-01,3,17025.34
2017,2017-11-01,4,5388.82
2017,2017-11-01,5,6325.34
2017,2017-11-01,9,683.18
2017,2017-11-01,10,792.36
2017,2017-12-01,1,2341.2
2017,2017-12-01,2,4897.8
2017,2017-12-01,3,16219.52
2017,2017-12-01,4,7680.47
2017,2017-12-01,5,5872.52
2017,2017-12-01,9,657.98
2017,2017-12-01,10,645.86
2018,2018-01-01,1,2186.18
2018,2018-01-01,2,4157.74
2018,2018-01-01,3,14808.78
2018,2018-01-01,4,5832.79
2018,2018-01-01,5,5371.52
2018,2018-01-01,9,547.16
2018,2018-01-01,10,614.35
2018,2018-02-01,1,2204.48
2018,2018-02-01,2,4474.34
2018,2018-02-01,3,14228.56
2018,2018-02-01,4,5711.96
2018,2018-02-01,5,5071.31
2018,2018-02-01,9,551.5
2018,2018-02-01,10,480.88
2018,2018-03-01,1,1893.09
2018,2018-03-01,2,3943.14
2018,2018-03-01,3,13080.85
2018,2018-03-01,4,5961.87
2018,2018-03-01,5,4529.62
2018,2018-03-01,9,480.29
2018,2018-03-01,10,526.41
2018,2018-04-01,1,1327.49
2018,2018-04-01,2,2993.7
2018,2018-04-01,3,9296.81
2018,2018-04-01,4,4408.49
2018,2018-04-01,5,3501.15
2018,2018-04-01,9,373.49
2018,2018-04-01,10,388.25
2018,2018-05-01,1,1467.61
2018,2018-05-01,2,2689.44
2018,2018-05-01,3,9411.42
2018,2018-05-01,4,4214.21
2018,2018-05-01,5,3669.56
2018,2018-05-01,9,362.17
2018,2018-05-01,10,409.86
