visit_date,dau,sessions_count,orders_count,revenue_sum,session_duration_sec_sum,is_new_user_sum,is_new_buyer_sum,n_buyers,diff_1st_visit_1st_purchase_mean_sec,visit_weekday,weekday_num,visit_week_num,week_start_monday,visit_month,visit_year,num_sessions_per_user_mean,num_orders_per_user_mean,session_duration_sec_mean,conversion_rate_%
2017-06-01,605,678,96,249.62,305817,605,86,96,22654.0,Thursday,3,22,2017-05-29,2017-06-01,2017,1.12,0.16,451,14.16
2017-06-02,611,674,111,274.35,307055,564,97,111,19472.0,Friday,4,22,2017-05-29,2017-06-01,2017,1.1,0.18,455,16.47
2017-06-03,447,487,68,170.15,208159,411,58,68,23657.0,Saturday,5,22,2017-05-29,2017-06-01,2017,1.09,0.15,427,13.96
2017-06-04,481,521,66,145.63,219278,441,55,66,20034.0,Sunday,6,22,2017-05-29,2017-06-01,2017,1.08,0.14,420,12.67
2017-06-05,827,909,161,386.06,404334,746,140,161,23597.0,Monday,0,23,2017-06-05,2017-06-01,2017,1.1,0.19,444,17.71
2017-06-06,807,905,197,409.44,404094,701,167,197,22331.0,Tuesday,1,23,2017-06-05,2017-06-01,2017,1.12,0.24,446,21.77
2017-06-07,715,819,197,407.76,396673,614,171,197,20728.0,Wednesday,2,23,2017-06-05,2017-06-01,2017,1.15,0.28,484,24.05
2017-06-08,877,958,181,365.62,451393,756,158,181,17998.0,Thursday,3,23,2017-06-05,2017-06-01,2017,1.09,0.21,471,18.89
2017-06-09,706,782,131,490.11,347618,571,116,131,22105.0,Friday,4,23,2017-06-05,2017-06-01,2017,1.11,0.19,444,16.75
2017-06-10,354,383,42,143.92,155280,300,34,42,26959.0,Saturday,5,23,2017-06-05,2017-06-01,2017,1.08,0.12,405,10.97
2017-06-11,296,311,28,92.62,117638,256,21,28,25590.0,Sunday,6,23,2017-06-05,2017-06-01,2017,1.05,0.09,378,9.0
2017-06-12,339,360,30,114.23,147900,296,25,30,25083.0,Monday,0,24,2017-06-12,2017-06-01,2017,1.06,0.09,410,8.33
2017-06-13,510,548,61,253.51,249398,425,48,61,26394.0,Tuesday,1,24,2017-06-12,2017-06-01,2017,1.07,0.12,455,11.13
2017-06-14,502,555,53,175.95,236899,422,45,53,32132.0,Wednesday,2,24,2017-06-12,2017-06-01,2017,1.11,0.11,426,9.55
2017-06-15,579,616,74,206.66,291019,490,68,74,27181.0,Thursday,3,24,2017-06-12,2017-06-01,2017,1.06,0.13,472,12.01
2017-06-16,489,536,70,234.15,238500,396,65,70,23299.0,Friday,4,24,2017-06-12,2017-06-01,2017,1.1,0.14,444,13.06
2017-06-17,331,341,35,98.01,154159,290,29,35,21632.0,Saturday,5,24,2017-06-12,2017-06-01,2017,1.03,0.11,452,10.26
2017-06-18,290,311,20,74.25,128280,248,15,20,32497.0,Sunday,6,24,2017-06-12,2017-06-01,2017,1.07,0.07,412,6.43
2017-06-19,485,523,45,195.35,234057,389,38,45,25267.0,Monday,0,25,2017-06-19,2017-06-01,2017,1.08,0.09,447,8.6
2017-06-20,462,503,46,178.51,216600,382,40,46,23406.0,Tuesday,1,25,2017-06-19,2017-06-01,2017,1.09,0.1,430,9.15
2017-06-21,438,468,50,189.51,188959,364,42,50,24029.0,Wednesday,2,25,2017-06-19,2017-06-01,2017,1.07,0.11,403,10.68
2017-06-22,543,579,64,234.82,238898,464,59,64,21912.0,Thursday,3,25,2017-06-19,2017-06-01,2017,1.07,0.12,412,11.05
2017-06-23,452,483,63,196.27,219199,368,59,63,19547.0,Friday,4,25,2017-06-19,2017-06-01,2017,1.07,0.14,453,13.04
2017-06-24,331,345,53,146.04,140359,284,48,53,20916.0,Saturday,5,25,2017-06-19,2017-06-01,2017,1.04,0.16,406,15.36
